Id,Iso639 3,Iso639 1,Eng name,Epo name,Deu name,Fra name,Spa name,Zho name,Rus name,Own name,Language type,Num users,Abbrev
2224,gsg,"",German Sign Language,germana signolingvo ,Deutsche Gebärdensprache,langue des signes allemande,lengua de signos alemana,德语手语,немецкий жестовый язык,Deutsche Gebärdensprache,L,14,DGS
4358,mya,my,Burmese,birma,Burmesisch,birman,birmano,缅甸语,бирманский,မန္မာစာ,L,14,
1245,ceb,,Cebuano,cebua,Cebuano,cebuano,cebuano,宿务语,себуано,S(in)ugboanon,L,13,
1903,fao,fo,Faroese,feroa,Färöisch,féroïen,feroés,法罗斯语,фарерский,føroyskt,L,13,
5979,ssp,"",Spanish Sign Language,hispana signolingvo,Spanische Gebärdensprache,langue des signes espagnole,lengua de signos española,"",испанский жестовый язык,lengua de signos española,L,13,LSE
314,apc,"",North Levantine Arabic,nord-levantenia araba,arabisch (Nord-Levantisch),arabe (lévantin du Nord),"",北黎凡特阿拉伯语,Сиро-палестинский диалект арабского языка,"",L,13,
3760,mar,mr,Marathi,marata,Marathi,marathe,maratí,马拉地语,маратхи,मराठी,L,13,
4042,mlt,mt,Maltese,malta,Maltesisch,maltais,maltés,马耳他语,мальтийский,bil-Malta,L,13,
1277,chv,cv,Chuvash,ĉuvaŝa,Tschuwaschisch,tchouvache,chuvasio,楚瓦什语,чувашский,Чӑваш,L,13,
5444,qya,,Quenya,kvenja,,,,,,,C,13,
8171,zbl,"",Blissymbols,blisa skribo,Bliss-Symbole,bliss,semantografía,布力辛博語,Блиссимволика,Blissymbols,C,13,
6570,twi,tw,Twi,tvia,Twi,twi,twi,契維語,тви,Twi,L,13,
7619,zul,zu,Zulu,zulua,Zulu,zoulou,Zulú,祖鲁语,Зулу,isiZulu,L,12,
4703,nno,nn,Norwegian Nynorsk,norvega (nynorsk),Nynorsk,norvégien nynorsk,noruego nynorsk,新挪威語（耐諾斯克挪威語）,нюнорск,Nynorsk,L,12,
2320,hat,ht,Haitian,haitia,Haitianisch,haïtien; créole haïtien,criollo haitiano,海地克里奥尔语,гаити,kreyòl ayisyen,L,12,
2242,guj,gu,Gujarati,guĝarata,Gudscharati,gujarâtî,guyaratí,古吉拉特语,гуджарати,ગુજરાતી,L,12,
357,arq,"",Algerian Arabic,alĝeria araba,arabisch (Algerien),arabe (algérien),"","","","",L,12,
185,ajp,"",South Levantine Arabic,sud-levantenia araba,Arabisch (Südlevantisch),arabe (lévantin du Sud),"","","","",L,12,
5363,pus,ps,Pashto,paŝtua,Paschtunisch,pachto,pastú,普什图语,пушту,پښتو,L,12,
6743,uzb,uz,Uzbek,uzbeka,Usbekisch,ouzbek,uzbeco,乌孜别克语,узбекский,Ўзбек,L,11,""
